Hospital Name,City,State,ZIP Code,County Name,Phone Number,MortalityRanked,PatientRanked,PSIRanked,SpendingRanked,Latitude,Longitude
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,4.96947595554,5.12553990199,5.36322232546,8.19120081645,61.203953000000006,-149.81440000000001
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,5.97185562793,5.14049733155,6.64359361494,6.88391570328,61.203953000000006,-149.81440000000001
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,9075622211,4.87044143725,5.5742627886,6.45866265754,7.4714621047,61.203953000000006,-149.81440000000001
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,99559,BETHEL,9075436300,5.78866898106,4.43749814253,6.36039668704,8.67650648724,60.766603000000003,-161.88006000000001
KANAKANAK HOSPITAL,DILLINGHAM,AK,99576,DILLINGHAM,9078425201,5.39749203958,4.79647645182,6.32627180298,5.92591555315,59.068708999999998,-158.44406999999998
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181,4.83538325595,6.02298567521,6.37262874267,8.32879792311,64.835070000000002,-147.72045
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801,JUNEAU,9077968900,4.02379254479,6.48666599137,6.47508395725,8.01464413622,58.358598999999998,-134.54748999999998
PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,9072255171,5.43174693455,6.11273025253,6.32627180298,7.50276488347,55.368643999999996,-131.67619999999999
PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,99615,KODIAK ISLAND,9074869592,4.9691986771,7.45889891235,6.32627180298,6.8654493158,57.746630000000003,-152.51141999999999
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,99645,MATANUSKA SUSITNA,9078616000,4.20923288211,5.40973106351,5.72141612133,8.65736450022,61.598203000000005,-149.04109
NORTON SOUND REGIONAL HOSPITAL,NOME,AK,99762,NOME,9074433311,5.76738176171,5.42468849306,6.32627180298,7.78403949266,64.532616000000004,-165.10883000000001
MANIILAQ HEALTH CENTER,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321,5.39749203958,4.79647645182,6.32627180298,5.92591555315,66.897192000000004,-162.58543999999998
MT EDGECUMBE HOSPITAL,SITKA,AK,99835,SITKA,9079662411,5.39749203958,4.79647645182,6.32627180298,5.92591555315,57.064376000000003,-135.3227
SITKA COMMUNITY HOSPITAL,SITKA,AK,99835,SITKA,9077473241,5.39749203958,7.20462260994,6.32627180298,5.92591555315,57.064376000000003,-135.3227
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,99669,,9072624404,4.08847400745,5.02083789512,6.25212084006,7.47866849981,60.489536000000001,-151.02091000000001
CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,99574,,9074248000,5.39749203958,4.79647645182,6.32627180298,5.92591555315,60.474511999999997,-145.40256000000002
PETERSBURG MEDICAL CENTER,PETERSBURG,AK,99833,,9077724291,5.39749203958,4.79647645182,6.32627180298,5.92591555315,56.784206000000005,-132.97353999999999
PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,99664,,9072245205,5.39749203958,4.79647645182,6.32627180298,5.92591555315,60.151651999999999,-149.41271
PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,99686,,9078352249,5.39749203958,4.79647645182,6.32627180298,5.92591555315,61.128176000000003,-146.23570000000001
SAMUEL SIMMONDS MEMORIAL HOSPITAL,BARROW,AK,99723,,9078524611,5.39749203958,4.79647645182,6.32627180298,5.92591555315,71.299525000000003,-156.74891000000002
SOUTH PENINSULA HOSPITAL,HOMER,AK,99603,,9072358101,5.80305897239,6.59136799824,6.32627180298,7.68968075667,59.665073999999997,-151.44929999999999
WRANGELL MEDICAL CENTER,WRANGELL,AK,99929,,9078747000,5.39749203958,4.79647645182,6.32627180298,5.92591555315,56.409506999999998,-132.33822000000001
PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,36067,AUTAUGA,3343614267,5.96785165569,5.62595632252,6.39394534193,6.99326631481,32.488112999999998,-86.529619999999994
NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,36507,BALDWIN,2519375521,4.8081527329,6.46357237751,6.35203276053,8.56741324683,30.875696999999999,-87.765919999999994
SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,36535,BALDWIN,2519493400,5.8840430248,6.28408322287,6.13247340416,6.92683235987,30.396876000000002,-87.696159999999992
THOMAS HOSPITAL,FAIRHOPE,AL,36532,BALDWIN,2519282375,5.99844352441,5.71570089984,7.18571247296,6.91759916614,30.512458000000002,-87.885590000000008
MEDICAL CENTER BARBOUR,EUFAULA,AL,36027,BARBOUR,3346887271,6.31439367777,5.94006234314,6.04384135233,8.75320312079,31.876168,-85.17362
BIBB MEDICAL CENTER,CENTREVILLE,AL,35042,BIBB,2059264881,5.02518445669,5.77553061805,6.27430348497,8.14989273006,32.963485999999996,-87.138669999999991
ST VINCENTS BLOUNT,ONEONTA,AL,35121,BLOUNT,2052743000,5.87917785769,6.31399808198,6.51515145188,6.33861035887,33.944896999999997,-86.458130000000011
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,36089,BULLOCK,3347382140,5.53088579352,6.11955149778,6.27749912628,7.93685367458,32.145437000000001,-85.709980000000002
